time_ms,cpu_used_percent,active_workers,queue_len,completed
16040,100,5,400,398
16050,100,5,400,398
16060,100,5,400,399
16070,100,5,400,399
16080,100,5,400,400
16090,100,5,400,400
16100,100,5,400,401
16110,100,5,400,401
16120,100,5,400,402
16130,100,5,400,402
16140,100,5,401,402
16150,100,5,401,402
16160,100,5,402,402
16170,100,5,402,402
16180,100,5,403,402
16190,100,5,403,402
16200,100,5,404,402
16210,100,5,404,402
16220,100,5,405,402
16230,100,5,405,402
16240,100,5,405,403
16250,100,5,405,403
16260,100,5,405,404
16270,100,5,405,404
16280,100,5,405,405
16290,100,5,405,405
16300,100,5,405,406
16310,100,5,405,406
16320,100,5,405,407
16330,100,5,405,407
16340,100,5,406,407
16350,100,5,406,407
16360,100,5,407,407
16370,100,5,407,407
16380,100,5,408,407
16390,100,5,408,407
16400,100,5,409,407
16410,100,5,409,407
16420,100,5,410,407
16430,100,5,410,407
16440,100,5,410,408
16450,100,5,410,408
16460,100,5,410,409
16470,100,5,410,409
16480,100,5,410,410
16490,100,5,410,410
16500,100,5,410,411
16510,100,5,410,411
16520,100,5,410,412
16530,100,5,410,412
16540,100,5,411,412
16550,100,5,411,412
16560,100,5,412,412
16570,100,5,412,412
16580,100,5,413,412
16590,100,5,413,412
16600,100,5,414,412
16610,100,5,414,412
16620,100,5,415,412
16630,100,5,415,412
16640,100,5,415,413
16650,100,5,415,413
16660,100,5,415,414
16670,100,5,415,414
16680,100,5,415,415
16690,100,5,415,415
16700,100,5,415,416
16710,100,5,415,416
16720,100,5,415,417
16730,100,5,415,417
16740,100,5,416,417
16750,100,5,416,417
16760,100,5,417,417
16770,100,5,417,417
16780,100,5,418,417
16790,100,5,418,417
16800,100,5,419,417
16810,100,5,419,417
16820,100,5,420,417
16830,100,5,420,417
16840,100,5,420,418
16850,100,5,420,418
16860,100,5,420,419
16870,100,5,420,419
16880,100,5,420,420
16890,100,5,420,420
16900,100,5,420,421
16910,100,5,420,421
16920,100,5,420,422
16930,100,5,420,422
16940,100,5,421,422
16950,100,5,421,422
16960,100,5,422,422
16970,100,5,422,422
16980,100,5,423,422
16990,100,5,423,422
17000,100,5,424,422
17010,100,5,424,422
17020,100,5,425,422
17030,100,5,425,422
17040,100,5,425,423
17050,100,5,425,423
17060,100,5,425,424
17070,100,5,425,424
17080,100,5,425,425
17090,100,5,425,425
17100,100,5,425,426
17110,100,5,425,426
17120,100,5,425,427
17130,100,5,425,427
17140,100,5,426,427
17150,100,5,426,427
17160,100,5,427,427
17170,100,5,427,427
17180,100,5,428,427
17190,100,5,428,427
17200,100,5,429,427
17210,100,5,429,427
17220,100,5,430,427
17230,100,5,430,427
17240,100,5,430,428
17250,100,5,430,428
17260,100,5,430,429
17270,100,5,430,429
17280,100,5,430,430
17290,100,5,430,430
17300,100,5,430,431
17310,100,5,430,431
17320,100,5,430,432
17330,100,5,430,432
17340,100,5,431,432
17350,100,5,431,432
17360,100,5,432,432
17370,100,5,432,432
17380,100,5,433,432
17390,100,5,433,432
17400,100,5,434,432
17410,100,5,434,432
17420,100,5,435,432
17430,100,5,435,432
17440,100,5,435,433
17450,100,5,435,433
17460,100,5,435,434
17470,100,5,435,434
17480,100,5,435,435
17490,100,5,435,435
17500,100,5,435,436
17510,100,5,435,436
17520,100,5,435,437
17530,100,5,435,437
17540,100,5,436,437
17550,100,5,436,437
17560,100,5,437,437
17570,100,5,437,437
17580,100,5,438,437
17590,100,5,438,437
17600,100,5,439,437
17610,100,5,439,437
17620,100,5,440,437
17630,100,5,440,437
17640,100,5,440,438
17650,100,5,440,438
17660,100,5,440,439
17670,100,5,440,439
17680,100,5,440,440
17690,100,5,440,440
17700,100,5,440,441
17710,100,5,440,441
17720,100,5,440,442
17730,100,5,440,442
17740,100,5,441,442
17750,100,5,441,442
17760,100,5,442,442
17770,100,5,442,442
17780,100,5,443,442
17790,100,5,443,442
17800,100,5,444,442
17810,100,5,444,442
17820,100,5,445,442
17830,100,5,445,442
17840,100,5,445,443
17850,100,5,445,443
17860,100,5,445,444
17870,100,5,445,444
17880,100,5,445,445
17890,100,5,445,445
17900,100,5,445,446
17910,100,5,445,446
17920,100,5,445,447
17930,100,5,445,447
17940,100,5,446,447
17950,100,5,446,447
17960,100,5,447,447
17970,100,5,447,447
17980,100,5,448,447
17990,100,5,448,447
18000,100,5,449,447
18010,100,5,449,447
18020,100,5,450,447
18030,100,5,450,447
18040,100,5,450,448
18050,100,5,450,448
18060,100,5,450,449
18070,100,5,450,449
18080,100,5,450,450
18090,100,5,450,450
18100,100,5,450,451
18110,100,5,450,451
18120,100,5,450,452
18130,100,5,450,452
18140,100,5,451,452
18150,100,5,451,452
18160,100,5,452,452
18170,100,5,452,452
18180,100,5,453,452
18190,100,5,453,452
18200,100,5,454,452
18210,100,5,454,452
18220,100,5,455,452
18230,100,5,455,452
18240,100,5,455,453
18250,100,5,455,453
18260,100,5,455,454
18270,100,5,455,454
18280,100,5,455,455
18290,100,5,455,455
18300,100,5,455,456
18310,100,5,455,456
18320,100,5,455,457
18330,100,5,455,457
18340,100,5,456,457
18350,100,5,456,457
18360,100,5,457,457
18370,100,5,457,457
18380,100,5,458,457
18390,100,5,458,457
18400,100,5,459,457
18410,100,5,459,457
18420,100,5,460,457
18430,100,5,460,457
18440,100,5,460,458
18450,100,5,460,458
18460,100,5,460,459
18470,100,5,460,459
18480,100,5,460,460
18490,100,5,460,460
18500,100,5,460,461
18510,100,5,460,461
18520,100,5,460,462
18530,100,5,460,462
18540,100,5,461,462
18550,100,5,461,462
18560,100,5,462,462
18570,100,5,462,462
18580,100,5,463,462
18590,100,5,463,462
18600,100,5,464,462
18610,100,5,464,462
18620,100,5,465,462
18630,100,5,465,462
18640,100,5,465,463
18650,100,5,465,463
18660,100,5,465,464
18670,100,5,465,464
18680,100,5,465,465
18690,100,5,465,465
18700,100,5,465,466
18710,100,5,465,466
18720,100,5,465,467
18730,100,5,465,467
18740,100,5,466,467
18750,100,5,466,467
18760,100,5,467,467
18770,100,5,467,467
18780,100,5,468,467
18790,100,5,468,467
18800,100,5,469,467
18810,100,5,469,467
18820,100,5,470,467
18830,100,5,470,467
18840,100,5,470,468
18850,100,5,470,468
18860,100,5,470,469
18870,100,5,470,469
18880,100,5,470,470
18890,100,5,470,470
18900,100,5,470,471
18910,100,5,470,471
18920,100,5,470,472
18930,100,5,470,472
