time_ms,cpu_used_percent,active_workers,queue_len,completed
27270,100,5,289,706
27280,100,5,289,706
27290,100,5,289,706
27300,100,5,289,706
27310,100,5,289,706
27320,100,5,289,706
27330,100,5,289,706
27340,100,5,289,706
27350,100,5,289,706
27360,100,5,289,706
27370,100,5,289,706
27380,100,5,289,706
27390,100,5,289,706
27400,100,5,289,706
27410,100,5,289,706
27420,100,5,289,706
27430,100,5,289,706
27440,85,6,283,711
27450,85,6,283,711
27460,85,6,283,711
27470,85,6,283,711
27480,85,6,283,711
27490,85,6,283,711
27500,85,6,283,711
27510,85,6,283,711
27520,85,6,283,711
27530,85,6,283,711
27540,85,6,283,711
27550,85,6,283,711
27560,85,6,283,711
27570,85,6,283,711
27580,85,6,283,711
27590,85,6,283,711
27600,85,6,283,711
27610,85,6,283,711
27620,85,6,283,711
27630,85,6,283,711
27640,100,5,278,717
27650,100,5,278,717
27660,100,5,278,717
27670,100,5,278,717
27680,100,5,278,717
27690,100,5,278,717
27700,100,5,278,717
27710,100,5,278,717
27720,100,5,278,717
27730,100,5,278,717
27740,100,5,278,717
27750,100,5,278,717
27760,100,5,278,717
27770,100,5,278,717
27780,100,5,278,717
27790,100,5,278,717
27800,100,5,278,717
27810,100,5,278,717
27820,100,5,278,717
27830,100,5,278,717
27840,100,5,273,722
27850,100,5,273,722
27860,100,5,273,722
27870,100,5,273,722
27880,100,5,273,722
27890,100,5,273,722
27900,100,5,273,722
27910,100,5,273,722
27920,100,5,273,722
27930,100,5,273,722
27940,100,5,273,722
27950,100,5,273,722
27960,100,5,273,722
27970,100,5,273,722
27980,100,5,273,722
27990,100,5,273,722
28000,100,5,273,722
28010,100,5,273,722
28020,100,5,273,722
28030,100,5,273,722
28040,80,3,270,727
28050,80,3,270,727
28060,80,3,270,727
28070,80,3,270,727
28080,80,3,270,727
28090,80,3,270,727
28100,80,3,270,727
28110,80,3,270,727
28120,80,3,270,727
28130,80,3,270,727
28140,80,3,270,727
28150,80,3,270,727
28160,80,3,270,727
28170,80,3,270,727
28180,80,3,270,727
28190,80,3,270,727
28200,80,3,270,727
28210,80,3,270,727
28220,80,3,270,727
28230,80,3,270,727
28240,80,3,267,730
28250,80,3,267,730
28260,80,3,267,730
28270,80,3,267,730
28280,80,3,267,730
28290,80,3,267,730
28300,80,3,267,730
28310,80,3,267,730
28320,80,3,267,730
28330,80,3,267,730
28340,80,3,267,730
28350,80,3,267,730
28360,80,3,267,730
28370,80,3,267,730
28380,80,3,267,730
28390,80,3,267,730
28400,80,3,267,730
28410,80,3,267,730
28420,80,3,267,730
28430,80,3,267,730
28440,70,2,265,733
28450,70,2,265,733
28460,70,2,265,733
28470,70,2,265,733
28480,70,2,265,733
28490,70,2,265,733
28500,70,2,265,733
28510,70,2,265,733
28520,70,2,265,733
28530,70,2,265,733
28540,70,2,265,733
28550,70,2,265,733
28560,70,2,265,733
28570,70,2,265,733
28580,70,2,265,733
28590,70,2,265,733
28600,70,2,265,733
28610,70,2,265,733
28620,70,2,265,733
28630,70,2,265,733
28640,95,7,258,735
28650,95,7,258,735
28660,95,7,258,735
28670,95,7,258,735
28680,95,7,258,735
28690,95,7,258,735
28700,95,7,258,735
28710,95,7,258,735
28720,95,7,258,735
28730,95,7,258,735
28740,95,7,258,735
28750,95,7,258,735
28760,95,7,258,735
28770,95,7,258,735
28780,95,7,258,735
28790,95,7,258,735
28800,95,7,258,735
28810,95,7,258,735
28820,95,7,258,735
28830,95,7,258,735
28840,75,5,253,742
28850,75,5,253,742
28860,75,5,253,742
28870,75,5,253,742
28880,75,5,253,742
28890,75,5,253,742
28900,75,5,253,742
28910,75,5,253,742
28920,75,5,253,742
28930,75,5,253,742
28940,75,5,253,742
28950,75,5,253,742
28960,75,5,253,742
28970,75,5,253,742
28980,75,5,253,742
28990,75,5,253,742
29000,75,5,253,742
29010,75,5,253,742
29020,75,5,253,742
29030,75,5,253,742
29040,80,3,250,747
29050,80,3,250,747
29060,80,3,250,747
29070,80,3,250,747
29080,80,3,250,747
29090,80,3,250,747
29100,80,3,250,747
29110,80,3,250,747
29120,80,3,250,747
29130,80,3,250,747
29140,80,3,250,747
29150,80,3,250,747
29160,80,3,250,747
29170,80,3,250,747
29180,80,3,250,747
29190,80,3,250,747
29200,80,3,250,747
29210,80,3,250,747
29220,80,3,250,747
29230,80,3,250,747
29240,100,5,245,750
29250,100,5,245,750
29260,100,5,245,750
29270,100,5,245,750
29280,100,5,245,750
29290,100,5,245,750
29300,100,5,245,750
29310,100,5,245,750
29320,100,5,245,750
29330,100,5,245,750
29340,100,5,245,750
29350,100,5,245,750
29360,100,5,245,750
29370,100,5,245,750
29380,100,5,245,750
29390,100,5,245,750
29400,100,5,245,750
29410,100,5,245,750
29420,100,5,245,750
29430,100,5,245,750
29440,85,6,239,755
29450,85,6,239,755
29460,85,6,239,755
29470,85,6,239,755
29480,85,6,239,755
29490,85,6,239,755
29500,85,6,239,755
29510,85,6,239,755
29520,85,6,239,755
29530,85,6,239,755
29540,85,6,239,755
29550,85,6,239,755
29560,85,6,239,755
29570,85,6,239,755
29580,85,6,239,755
29590,85,6,239,755
29600,85,6,239,755
29610,85,6,239,755
29620,85,6,239,755
29630,85,6,239,755
29640,100,5,234,761
29650,100,5,234,761
29660,100,5,234,761
29670,100,5,234,761
29680,100,5,234,761
29690,100,5,234,761
29700,100,5,234,761
29710,100,5,234,761
29720,100,5,234,761
29730,100,5,234,761
29740,100,5,234,761
29750,100,5,234,761
29760,100,5,234,761
29770,100,5,234,761
29780,100,5,234,761
29790,100,5,234,761
29800,100,5,234,761
29810,100,5,234,761
29820,100,5,234,761
29830,100,5,234,761
29840,70,2,232,766
29850,70,2,232,766
29860,70,2,232,766
